technique_ID,Azure AD,Containers,Google Workspace,IaaS,Linux,Network,Office 365,PRE,SaaS,Windows,macOS
T1556,1,0,1,1,1,1,1,0,1,1,1
T1556.001,0,0,0,0,0,0,0,0,0,1,0
T1556.002,0,0,0,0,0,0,0,0,0,1,0
T1556.003,0,0,0,0,1,0,0,0,0,0,1
T1556.004,0,0,0,0,0,1,0,0,0,0,0
T1556.005,0,0,0,0,0,0,0,0,0,1,0
T1556.006,1,0,1,1,1,0,1,0,1,1,1
T1556.007,1,0,1,1,0,0,1,0,1,1,0
T1556.008,0,0,0,0,0,0,0,0,0,1,0
T1557,0,0,0,0,1,1,0,0,0,1,1
T1557.001,0,0,0,0,0,0,0,0,0,1,0
T1557.002,0,0,0,0,1,0,0,0,0,1,1
T1557.003,0,0,0,0,1,0,0,0,0,1,1
T1558,0,0,0,0,1,0,0,0,0,1,1
T1558.001,0,0,0,0,0,0,0,0,0,1,0
T1558.002,0,0,0,0,0,0,0,0,0,1,0
T1558.003,0,0,0,0,0,0,0,0,0,1,0
T1558.004,0,0,0,0,0,0,0,0,0,1,0
T1559,0,0,0,0,1,0,0,0,0,1,1
T1559.001,0,0,0,0,0,0,0,0,0,1,0
T1559.002,0,0,0,0,0,0,0,0,0,1,0
T1559.003,0,0,0,0,0,0,0,0,0,0,1
T1560,0,0,0,0,1,0,0,0,0,1,1
T1560.001,0,0,0,0,1,0,0,0,0,1,1
T1560.002,0,0,0,0,1,0,0,0,0,1,1
T1560.003,0,0,0,0,1,0,0,0,0,1,1
T1561,0,0,0,0,1,1,0,0,0,1,1
T1561.001,0,0,0,0,1,0,0,0,0,1,1
T1561.002,0,0,0,0,1,1,0,0,0,1,1
T1562,0,1,0,1,1,1,1,0,0,1,1
T1562.001,0,1,0,1,1,0,0,0,0,1,1
T1562.002,0,0,0,0,0,0,0,0,0,1,0
T1562.003,0,0,0,0,1,1,0,0,0,1,1
T1562.004,0,0,0,0,1,0,0,0,0,1,1
T1562.006,0,0,0,0,1,0,0,0,0,1,1
T1562.007,0,0,0,1,0,0,0,0,0,0,0
T1562.008,1,0,1,1,0,0,1,0,1,0,0
